serial,lat,lon,adm_cd,lu
V02Q1940291,37.621414751,127.069568731,11350580,residential
V02Q1940267,37.652649252,127.078239562,11350619,mixed
V02Q1940154,37.642158807,127.069983839,11350625,mixed
V02Q1940210,37.660883747,127.07885917,11350624,mixed
V02Q1940183,37.647822881,127.081222563,11350619,mixed
V02Q1940132,37.64010401,127.072986056,11350611,mixed
V02Q1940157,37.63161114,127.0674942,11350612,residential
V02Q1940215,37.6269977,127.079103124,11350600,mixed
V02Q1940226,37.61493832,127.06474396,11350560,mixed
V02Q1940298,37.67465443,127.0619009,11350630,residential
V02Q1940885,37.659896978,127.068541738,11350640,commercial
V02Q1940950,37.622809925,127.074963276,11350595,mixed
V02Q1940076,37.622023532,127.077480597,11350595,mixed
V02Q1940150,37.644166701,127.060686742,11350695,commercial
V02Q1940257,37.639543904,127.060697269,11350625,mixed
V02Q1940245,37.6737622,127.050567207,11350630,residential
V02Q1940153,37.683586447,127.064959454,11350630,residential
V02Q1940151,37.679160221,127.052082794,11350630,residential
V02Q1940755,37.658856107,127.068500793,11350640,commercial
V02Q1940339,37.623466453,126.916906052,11380551,mixed
V02Q1940343,37.618708097,126.916591541,11380552,residential
V02Q1940336,37.611799643,126.90985303,11380560,residential
V02Q1940317,37.602631443,126.930628959,11380510,residential
V02Q1940326,37.61408672,126.91983704,11380570,mixed
V02Q1940208,37.610598263,126.931352835,11380520,residential
V02Q1940333,37.626081398,126.927710516,11380530,residential
V02Q1940332,37.597650438,126.912020853,11380631,residential
V02Q1940341,37.604135693,126.914765263,11380625,residential
V02Q1940377,37.59483691,126.924548749,11380590,residential
V02Q1940373,37.589868574,126.917320918,11380600,mixed
V02Q1940347,37.584427523,126.905224449,11380640,residential
V02Q1940358,37.638983563,126.918861419,11380690,mixed
V02Q1940435,37.583513221,126.894276875,11380650,mixed
V02Q1940476,37.592348032,126.906563171,11380632,residential
V02Q1940337,37.598908246,126.920308931,11380580,residential
V02Q1940139,37.643796055,126.924565394,11380690,mixed
V02Q1940485,37.599233119,126.916387325,11380580,residential
V02Q1940370,37.619613134,126.932131205,11380520,residential
V02Q1940475,37.613989128,126.906555525,11380560,residential
V02Q1940872,37.61065265,126.933335739,11380520,residential
